step_size..................................................................0.001
min_lr.....................................................................1e-06
pretrain......................................................................30
data_num....................................................................2000
node_num......................................................................15
max_degree....................................................................10
feature_dim...................................................................-1
noise........................................................................0.1
num_classes....................................................................4
shape_num......................................................................1
bias.........................................................................0.5
penalty_weight...............................................................0.1
train_type..................................................................base
epochs.......................................................................100
batch_size...................................................................128
the............................................................................0
with_random.................................................................True
eval_random................................................................False
normalize..................................................................False
save_model.................................................................False
without_node_attention.....................................................False
without_edge_attention.....................................................False
k..............................................................................3
layers.........................................................................3
c............................................................................0.5
o............................................................................1.0
co...........................................................................0.5
harf_hidden..................................................................0.5
cat_or_add...................................................................add
num_layers.....................................................................3
folds.........................................................................10
fc_num.......................................................................222
data_root...................................................................data
save_dir...................................................................debug
dataset....................................................................MUTAG
epoch_select............................................................test_max
model..................................................................CausalGAT
hidden.......................................................................128
seed.........................................................................666
lr.........................................................................0.001
lr_decay_factor..............................................................0.5
lr_decay_step_size...........................................................500
weight_decay...................................................................0
global_pool..................................................................sum

Causal | dataset:[MUTAG] fold:[0] | Epoch:[1/100] Loss:[1.0532=0.0570+0.6292+0.7909] Train:[71.5976] Test:[31.58] Test_o:[31.58] Test_c:[31.58] (RG:50.00) | Best Test:[31.58] at Epoch:[1] | Test_o:[31.58] Test_c:[31.58]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[2/100] Loss:[0.7657=0.0537+0.4605+0.5567] Train:[79.2899] Test:[31.58] Test_o:[31.58] Test_c:[94.74] (RG:50.00) | Best Test:[31.58] at Epoch:[1] | Test_o:[31.58] Test_c:[31.58]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[3/100] Loss:[0.6543=0.0350+0.4036+0.4663] Train:[86.3905] Test:[31.58] Test_o:[31.58] Test_c:[68.42] (RG:50.00) | Best Test:[31.58] at Epoch:[1] | Test_o:[31.58] Test_c:[31.58]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[4/100] Loss:[0.6568=0.0316+0.4000+0.4820] Train:[84.0237] Test:[31.58] Test_o:[31.58] Test_c:[68.42] (RG:50.00) | Best Test:[31.58] at Epoch:[1] | Test_o:[31.58] Test_c:[31.58]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[5/100] Loss:[0.5958=0.0287+0.3768+0.4094] Train:[85.7988] Test:[31.58] Test_o:[36.84] Test_c:[68.42] (RG:50.00) | Best Test:[31.58] at Epoch:[1] | Test_o:[31.58] Test_c:[31.58]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[6/100] Loss:[0.5358=0.0215+0.3460+0.3580] Train:[87.5740] Test:[36.84] Test_o:[47.37] Test_c:[52.63] (RG:50.00) | Best Test:[36.84] at Epoch:[6] | Test_o:[47.37] Test_c:[52.63]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[7/100] Loss:[0.5276=0.0299+0.3272+0.3709] Train:[89.3491] Test:[42.11] Test_o:[52.63] Test_c:[63.16] (RG:50.00) | Best Test:[42.11] at Epoch:[7] | Test_o:[52.63] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[8/100] Loss:[0.4933=0.0263+0.3192+0.3219] Train:[86.3905] Test:[57.89] Test_o:[57.89] Test_c:[68.42] (RG:50.00) | Best Test:[57.89] at Epoch:[8] | Test_o:[57.89] Test_c:[68.42]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[9/100] Loss:[0.4717=0.0109+0.3053+0.3218] Train:[88.1657] Test:[57.89] Test_o:[84.21] Test_c:[68.42] (RG:50.00) | Best Test:[57.89] at Epoch:[8] | Test_o:[57.89] Test_c:[68.42]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[10/100] Loss:[0.4640=0.0158+0.2886+0.3350] Train:[87.5740] Test:[73.68] Test_o:[89.47] Test_c:[68.42] (RG:50.00) | Best Test:[73.68] at Epoch:[10] | Test_o:[89.47] Test_c:[68.42]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[11/100] Loss:[0.4546=0.0152+0.2946+0.3048] Train:[89.3491] Test:[84.21] Test_o:[89.47] Test_c:[68.42] (RG:50.00) | Best Test:[84.21] at Epoch:[11] | Test_o:[89.47] Test_c:[68.42]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[12/100] Loss:[0.4238=0.0129+0.2789+0.2769] Train:[89.9408] Test:[94.74] Test_o:[89.47] Test_c:[63.16] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[13/100] Loss:[0.3541=0.0114+0.2295+0.2377] Train:[90.5325] Test:[94.74] Test_o:[84.21] Test_c:[47.37] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[14/100] Loss:[0.3473=0.0090+0.2256+0.2344] Train:[91.7160] Test:[89.47] Test_o:[84.21] Test_c:[36.84] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[15/100] Loss:[0.3757=0.0121+0.2428+0.2536] Train:[91.7160] Test:[89.47] Test_o:[84.21] Test_c:[36.84] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[16/100] Loss:[0.3399=0.0113+0.2126+0.2433] Train:[91.1243] Test:[89.47] Test_o:[84.21] Test_c:[36.84] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[17/100] Loss:[0.3308=0.0076+0.2115+0.2310] Train:[93.4911] Test:[84.21] Test_o:[78.95] Test_c:[42.11] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[18/100] Loss:[0.3311=0.0096+0.2007+0.2511] Train:[92.3077] Test:[84.21] Test_o:[78.95] Test_c:[52.63] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[19/100] Loss:[0.3963=0.0118+0.2425+0.2958] Train:[89.3491] Test:[84.21] Test_o:[78.95] Test_c:[52.63] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
Causal | dataset:[MUTAG] fold:[0] | Epoch:[20/100] Loss:[0.3138=0.0109+0.2005+0.2156] Train:[92.3077] Test:[84.21] Test_o:[78.95] Test_c:[47.37] (RG:50.00) | Best Test:[94.74] at Epoch:[12] | Test_o:[89.47] Test_c:[63.16]
