step_size..................................................................0.001
min_lr.....................................................................1e-06
pretrain......................................................................30
data_num....................................................................2000
node_num......................................................................15
max_degree....................................................................10
feature_dim...................................................................-1
noise........................................................................0.1
num_classes....................................................................4
shape_num......................................................................1
bias.........................................................................0.5
penalty_weight...............................................................0.1
train_type..................................................................base
epochs.......................................................................100
batch_size...................................................................128
the............................................................................0
with_random.................................................................True
eval_random................................................................False
normalize..................................................................False
save_model.................................................................False
without_node_attention.....................................................False
without_edge_attention.....................................................False
k..............................................................................3
layers.........................................................................3
c............................................................................0.5
o............................................................................1.0
co...........................................................................0.5
harf_hidden..................................................................0.5
cat_or_add...................................................................add
num_layers.....................................................................3
folds.........................................................................10
fc_num.......................................................................222
data_root...................................................................data
save_dir...................................................................debug
dataset...................................................................COLLAB
epoch_select............................................................test_max
model..................................................................CausalGIN
hidden.......................................................................128
seed.........................................................................666
lr.........................................................................0.001
lr_decay_factor..............................................................0.5
lr_decay_step_size...........................................................500
weight_decay...................................................................0
global_pool..................................................................sum

Downloading https://ls11-www.cs.tu-dortmund.de/people/morris/graphkerneldatasets/COLLAB.zip
Extracting data/COLLAB/COLLAB.zip
Processing...
Done!
Causal | dataset:[COLLAB] fold:[0] | Epoch:[1/100] Loss:[1.1827=0.0311+0.7682+0.7980] Train:[64.5333] Test:[65.00] Test_o:[70.00] Test_c:[37.40] (RG:33.33) | Best Test:[65.00] at Epoch:[1] | Test_o:[70.00] Test_c:[37.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[2/100] Loss:[0.9272=0.0083+0.6051+0.6358] Train:[73.3333] Test:[66.40] Test_o:[71.80] Test_c:[21.00] (RG:33.33) | Best Test:[66.40] at Epoch:[2] | Test_o:[71.80] Test_c:[21.00]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[3/100] Loss:[0.8725=0.0042+0.5727+0.5954] Train:[73.9333] Test:[75.80] Test_o:[75.00] Test_c:[40.20] (RG:33.33) | Best Test:[75.80] at Epoch:[3] | Test_o:[75.00] Test_c:[40.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[4/100] Loss:[0.8465=0.0029+0.5561+0.5779] Train:[75.2444] Test:[75.00] Test_o:[74.40] Test_c:[38.40] (RG:33.33) | Best Test:[75.80] at Epoch:[3] | Test_o:[75.00] Test_c:[40.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[5/100] Loss:[0.8053=0.0020+0.5307+0.5472] Train:[76.0222] Test:[73.80] Test_o:[73.80] Test_c:[27.40] (RG:33.33) | Best Test:[75.80] at Epoch:[3] | Test_o:[75.00] Test_c:[40.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[6/100] Loss:[0.7798=0.0016+0.5121+0.5336] Train:[76.1111] Test:[75.00] Test_o:[72.40] Test_c:[29.40] (RG:33.33) | Best Test:[75.80] at Epoch:[3] | Test_o:[75.00] Test_c:[40.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[7/100] Loss:[0.7699=0.0012+0.5064+0.5259] Train:[76.4222] Test:[76.60] Test_o:[77.40] Test_c:[50.80] (RG:33.33) | Best Test:[76.60] at Epoch:[7] | Test_o:[77.40] Test_c:[50.80]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[8/100] Loss:[0.7301=0.0010+0.4801+0.4989] Train:[77.7333] Test:[78.00] Test_o:[77.80] Test_c:[37.20] (RG:33.33) | Best Test:[78.00] at Epoch:[8] | Test_o:[77.80] Test_c:[37.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[9/100] Loss:[0.7884=0.0034+0.5158+0.5418] Train:[76.6000] Test:[75.80] Test_o:[76.80] Test_c:[37.80] (RG:33.33) | Best Test:[78.00] at Epoch:[8] | Test_o:[77.80] Test_c:[37.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[10/100] Loss:[0.7313=0.0015+0.4779+0.5054] Train:[78.1333] Test:[78.80] Test_o:[79.20] Test_c:[15.20] (RG:33.33) | Best Test:[78.80] at Epoch:[10] | Test_o:[79.20] Test_c:[15.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[11/100] Loss:[0.7049=0.0011+0.4595+0.4896] Train:[78.8889] Test:[77.60] Test_o:[76.00] Test_c:[51.40] (RG:33.33) | Best Test:[78.80] at Epoch:[10] | Test_o:[79.20] Test_c:[15.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[12/100] Loss:[0.6916=0.0007+0.4534+0.4756] Train:[78.0889] Test:[75.40] Test_o:[78.80] Test_c:[19.20] (RG:33.33) | Best Test:[78.80] at Epoch:[10] | Test_o:[79.20] Test_c:[15.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[13/100] Loss:[0.6668=0.0005+0.4389+0.4553] Train:[79.4667] Test:[76.80] Test_o:[77.00] Test_c:[47.20] (RG:33.33) | Best Test:[78.80] at Epoch:[10] | Test_o:[79.20] Test_c:[15.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[14/100] Loss:[0.6688=0.0004+0.4400+0.4572] Train:[79.4667] Test:[80.00] Test_o:[80.00] Test_c:[48.20] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[15/100] Loss:[0.6312=0.0005+0.4158+0.4304] Train:[80.7556] Test:[78.00] Test_o:[78.60] Test_c:[26.60] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[16/100] Loss:[0.6410=0.0004+0.4226+0.4364] Train:[79.9778] Test:[78.60] Test_o:[80.80] Test_c:[34.40] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[17/100] Loss:[0.6196=0.0004+0.4071+0.4246] Train:[80.7556] Test:[79.00] Test_o:[79.80] Test_c:[29.00] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[18/100] Loss:[0.6088=0.0004+0.4012+0.4148] Train:[80.7556] Test:[76.00] Test_o:[77.60] Test_c:[45.20] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[19/100] Loss:[0.6102=0.0003+0.4027+0.4147] Train:[81.2000] Test:[79.40] Test_o:[79.60] Test_c:[41.80] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[20/100] Loss:[0.6137=0.0003+0.4051+0.4169] Train:[80.4000] Test:[78.40] Test_o:[79.40] Test_c:[39.20] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[21/100] Loss:[0.6485=0.0005+0.4269+0.4428] Train:[80.2000] Test:[79.80] Test_o:[81.00] Test_c:[16.00] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[22/100] Loss:[0.6098=0.0005+0.4033+0.4124] Train:[80.9556] Test:[79.20] Test_o:[78.60] Test_c:[32.20] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[23/100] Loss:[0.7190=0.0007+0.4745+0.4883] Train:[77.1111] Test:[77.20] Test_o:[78.00] Test_c:[43.00] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[24/100] Loss:[0.6714=0.0003+0.4437+0.4550] Train:[79.6444] Test:[76.00] Test_o:[77.80] Test_c:[41.40] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[25/100] Loss:[0.6371=0.0003+0.4203+0.4334] Train:[80.0889] Test:[79.00] Test_o:[76.80] Test_c:[33.00] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[26/100] Loss:[0.6319=0.0003+0.4190+0.4256] Train:[80.1111] Test:[77.80] Test_o:[78.20] Test_c:[20.40] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[27/100] Loss:[0.6465=0.0003+0.4273+0.4382] Train:[80.8667] Test:[78.20] Test_o:[78.20] Test_c:[52.80] (RG:33.33) | Best Test:[80.00] at Epoch:[14] | Test_o:[80.00] Test_c:[48.20]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[28/100] Loss:[0.6238=0.0003+0.4119+0.4236] Train:[80.4222] Test:[81.80] Test_o:[81.60] Test_c:[35.40] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[29/100] Loss:[0.5901=0.0002+0.3907+0.3986] Train:[81.6889] Test:[79.80] Test_o:[79.60] Test_c:[32.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[30/100] Loss:[0.5820=0.0002+0.3852+0.3933] Train:[81.4444] Test:[80.00] Test_o:[80.00] Test_c:[18.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[31/100] Loss:[0.5812=0.0002+0.3837+0.3948] Train:[82.5111] Test:[81.00] Test_o:[81.00] Test_c:[39.20] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[32/100] Loss:[0.5858=0.0001+0.3899+0.3917] Train:[81.5778] Test:[75.00] Test_o:[76.60] Test_c:[30.20] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[33/100] Loss:[0.5893=0.0001+0.3901+0.3984] Train:[82.1111] Test:[80.00] Test_o:[80.00] Test_c:[36.60] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[34/100] Loss:[0.5890=0.0001+0.3902+0.3974] Train:[81.5778] Test:[80.00] Test_o:[79.40] Test_c:[33.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[35/100] Loss:[0.5888=0.0002+0.3897+0.3980] Train:[82.0222] Test:[79.40] Test_o:[78.80] Test_c:[52.40] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[36/100] Loss:[0.5824=0.0002+0.3861+0.3925] Train:[81.6222] Test:[81.00] Test_o:[80.00] Test_c:[35.60] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[37/100] Loss:[0.5713=0.0001+0.3774+0.3878] Train:[82.4444] Test:[77.80] Test_o:[77.80] Test_c:[22.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[38/100] Loss:[0.5671=0.0001+0.3743+0.3855] Train:[82.3333] Test:[79.20] Test_o:[80.00] Test_c:[42.40] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[39/100] Loss:[0.5460=0.0001+0.3623+0.3673] Train:[83.0222] Test:[79.20] Test_o:[79.60] Test_c:[42.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[40/100] Loss:[0.5520=0.0001+0.3651+0.3737] Train:[82.7778] Test:[80.60] Test_o:[80.20] Test_c:[24.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[41/100] Loss:[0.5374=0.0001+0.3568+0.3612] Train:[83.4889] Test:[76.20] Test_o:[76.60] Test_c:[33.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[42/100] Loss:[0.5378=0.0001+0.3563+0.3629] Train:[83.2222] Test:[80.20] Test_o:[80.00] Test_c:[48.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[43/100] Loss:[0.5623=0.0001+0.3732+0.3781] Train:[82.5333] Test:[80.00] Test_o:[80.00] Test_c:[35.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[44/100] Loss:[0.5923=0.0001+0.3932+0.3982] Train:[81.6444] Test:[78.80] Test_o:[79.60] Test_c:[26.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[45/100] Loss:[0.5604=0.0001+0.3727+0.3753] Train:[82.5333] Test:[79.60] Test_o:[80.00] Test_c:[39.20] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[46/100] Loss:[0.5630=0.0001+0.3728+0.3805] Train:[82.8444] Test:[79.40] Test_o:[79.80] Test_c:[38.60] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[47/100] Loss:[0.5468=0.0001+0.3632+0.3671] Train:[82.6222] Test:[80.00] Test_o:[80.80] Test_c:[40.80] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[48/100] Loss:[0.5270=0.0001+0.3502+0.3535] Train:[83.7556] Test:[79.40] Test_o:[79.80] Test_c:[28.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[49/100] Loss:[0.5420=0.0001+0.3601+0.3638] Train:[82.7778] Test:[80.60] Test_o:[80.60] Test_c:[48.00] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
Causal | dataset:[COLLAB] fold:[0] | Epoch:[50/100] Loss:[0.5259=0.0001+0.3496+0.3526] Train:[83.7111] Test:[80.60] Test_o:[80.40] Test_c:[41.60] (RG:33.33) | Best Test:[81.80] at Epoch:[28] | Test_o:[81.60] Test_c:[35.40]
